2026-02-18 07:53:10,565 [main] INFO  marytts.PStream Gradient GV optimization for feature: (9)  number of iterations=19
2026-02-18 07:53:10,565 [main] INFO  marytts.PStream Gradient GV optimization for feature: (10)  number of iterations=16
2026-02-18 07:53:10,565 [main] INFO  marytts.PStream Gradient GV optimization for feature: (11)  number of iterations=9
2026-02-18 07:53:10,565 [main] INFO  marytts.PStream Gradient GV optimization for feature: (12)  number of iterations=2
2026-02-18 07:53:10,565 [main] INFO  marytts.PStream Gradient GV optimization for feature: (13)  number of iterations=13
2026-02-18 07:53:10,565 [main] INFO  marytts.PStream Gradient GV optimization for feature: (14)  number of iterations=12
2026-02-18 07:53:10,565 [main] INFO  marytts.PStream Gradient GV optimization for feature: (15)  number of iterations=14
2026-02-18 07:53:10,565 [main] INFO  marytts.PStream Gradient GV optimization for feature: (16)  number of iterations=15
2026-02-18 07:53:10,565 [main] INFO  marytts.PStream Gradient GV optimization for feature: (17)  number of iterations=14
2026-02-18 07:53:10,565 [main] INFO  marytts.PStream Gradient GV optimization for feature: (18)  number of iterations=19
2026-02-18 07:53:10,565 [main] INFO  marytts.PStream Gradient GV optimization for feature: (19)  number of iterations=12
2026-02-18 07:53:10,565 [main] INFO  marytts.PStream Gradient GV optimization for feature: (20)  number of iterations=17
2026-02-18 07:53:10,565 [main] INFO  marytts.PStream Gradient GV optimization for feature: (21)  number of iterations=23
2026-02-18 07:53:10,565 [main] INFO  marytts.PStream Gradient GV optimization for feature: (22)  number of iterations=12
2026-02-18 07:53:10,565 [main] INFO  marytts.PStream Gradient GV optimization for feature: (23)  number of iterations=18
2026-02-18 07:53:10,565 [main] INFO  marytts.PStream Gradient GV optimization for feature: (24)  number of iterations=12
2026-02-18 07:53:10,565 [main] INFO  marytts.PStream Gradient GV optimization for feature: (25)  number of iterations=11
2026-02-18 07:53:10,565 [main] INFO  marytts.PStream Gradient GV optimization for feature: (26)  number of iterations=13
2026-02-18 07:53:10,565 [main] INFO  marytts.PStream Gradient GV optimization for feature: (27)  number of iterations=9
2026-02-18 07:53:10,570 [main] INFO  marytts.PStream Gradient GV optimization for feature: (28)  number of iterations=13
2026-02-18 07:53:10,571 [main] INFO  marytts.PStream Gradient GV optimization for feature: (29)  number of iterations=8
2026-02-18 07:53:10,571 [main] INFO  marytts.PStream Gradient GV optimization for feature: (30)  number of iterations=11
2026-02-18 07:53:10,571 [main] INFO  marytts.PStream Gradient GV optimization for feature: (31)  number of iterations=12
2026-02-18 07:53:10,571 [main] INFO  marytts.PStream Gradient GV optimization for feature: (32)  number of iterations=7
2026-02-18 07:53:10,571 [main] INFO  marytts.PStream Gradient GV optimization for feature: (33)  number of iterations=8
2026-02-18 07:53:10,571 [main] INFO  marytts.PStream Gradient GV optimization for feature: (34)  number of iterations=12
2026-02-18 07:53:10,571 [main] INFO  marytts.ParameterGeneration Using f0 from maryXML acoustparams
2026-02-18 07:53:10,572 [main] INFO  marytts.PStream Context-dependent global variance optimization: gvLength = 107
2026-02-18 07:53:10,572 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=16
2026-02-18 07:53:10,572 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=2
2026-02-18 07:53:10,572 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=2
2026-02-18 07:53:10,572 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=8
2026-02-18 07:53:10,572 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=26
2026-02-18 07:53:10,578 [main] INFO  marytts.HMMSynthesizer Power-on self test complete.
2026-02-18 07:53:10,578 [main] INFO  marytts.TextToMaryXML Module started (TEXT->RAWMARYXML, locale null).
2026-02-18 07:53:10,579 [main] INFO  marytts.TextToMaryXML Starting power-on self test.
2026-02-18 07:53:10,579 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with en_US
2026-02-18 07:53:10,579 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with en_US
2026-02-18 07:53:10,579 [main] INFO  marytts.TextToMaryXML Power-on self test complete.
